Group	4
T1	2434014
T2	4847753
T3	9667539
T4	12442872
T5	13394471
T6	14412109
T7	14676938
T8	15060738
T9	15710237
T10	15715912
T11	15768230
T12	16429584
T13	16932712
T14	17213256
T15	17289197
T16	17348363
T17	17530564
T18	17944880
T19	20699550
T20	20903150
T21	20955602
T22	21092638
T23	22522149
T24	22552491
T25	24323426
T26	25309236
T27	26000829
T28	27676102
T29	28693039
T30	29374668
T31	32753088
T32	33035412
T33	33237148
T34	34278694
T35	34797391
T36	36157865
T37	38828061
T38	38986890
T39	39116817
T40	39305298
T41	40429044
T42	41024794
T43	41351251
T44	41362096
T45	42559278
T46	42572729
T47	44426862
T48	45933862
T49	46368370
T50	49319159
T51	50130998
T52	51857011
T53	54153983
T54	54358417
T55	54433198
T56	55152112
T57	55232251
T58	56001458
	56983294
